Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
KSPG,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","10",KSPG,B.205.3.09.013
KAR VALVES,VALVE,MAHINDRA,B275,B275,"",STD,KAR VALVES,KV1703-704
TIGER POWER,CYLINDER LINER,MARUTI,WAGONR,SEMI FINISHED,WAGONR,STD,TIGER POWER,K2002901460
TALBROS QHT,TIE ROD,MAHINDRA,"275DI",TIE ROD END (METRIC THREAD),"","",TALBROS QHT,TRE16002MPR
TIGER POWER,CYLINDER LINER,MAHINDRA,AVL 575,PRE FINISHED,MOLYGOLD,STD,TIGER POWER,K2000500660
KSPG,CONNECTING BEARING,TATA,ACE,ACE,"","10",KSPG,B.155.400.013
TRUCKPARTS-COOLANT,COOLANT,"","",RED (1:3),"","3LTR",TRUCKPARTS-COOLANT,SC-NC30R
BANCO,GASKETS,TATA,ACE DICOR,W/O CHG APQB,FULL GASKET,"",BANCO,"5220109900APQB"
BANCO,GASKETS,SIMPSON,S3/241,AST,GEAR BOX KIT,"",BANCO,"5440189600AST"
RBL,BRAKE LINING,TATA,"1009",FR & RR 12 HOLES,HF7,"2MM",RBL,RBL/T1009TT/1 2MM
BANCO,GASKETS,MARUTI,GYPSY,BANKITE,HALF GASKET,"",BANCO,"5231269800BKT"
IPL,PISTON SET,ASHOK LEYLAND,LEYLAND,AL BS II,"","",IPL,"602-13278W-STD"
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","40",KSPG,M.217.4.00.043
BANCO,GASKETS,MARUTI,SWIFT DIESEL,RCS,VALVE COVER,"",BANCO,"5231161500RCS"
KSPG,MAIN BEARING,HYUNDAI,VERNA DIESEL,VERNA DIESEL,"","10",KSPG,N.742.3.00.013
TRUCKPARTS-COOLANT,COOLANT,"","",RED (1:9),"","210LTR",TRUCKPARTS-COOLANT,SC-210-R
BANCO,GASKETS,TATA,ACE,BAF,HEAD GASKET,"",BANCO,"52202100PSBAF"
TALBROS,GASKETS,ASHOK LEYLAND,HINO (4CYL),HEAD GASKET,EXCEL,"",TALBROS,"3118DSXNA"
KSPG,MAIN & CR BRG,MARUTI,WAGONR,"4CYL","",STD,KSPG,P.135.0.00.003
KSPG,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO ( EIII),"",STD,KSPG,B.297.0.00.003
RBL,BRAKE LINING,TATA,SUMO,SUMO,"262",Jan-16,RBL,RBL/T207/B/L&S 1/16 262
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,"3052820","3052820","",STD,KAR VALVES,KV1799
SETCO,UJCROSS,ASHOKLEYLAND,"12TYRE","","","47.64X135",SETCO,SC-5001
RBL,BRAKE LINING,MAHINDRA,BOLERO,BOLERO,"262",Jan-32,RBL,RBL/MARSHALL/TX/L&S 1/32
RBL,DISCPAD,MAHINDRA,TUV300,"","","",RBL,RBL/DP/058
KSPG,CONNECTING BEARING,MARUTI,"1000CC","1000CC","",STD,KSPG,B.113.3.00.003
KSPG,CONNECTING BEARING,TATA,IRIS/ZIP,IRIS/ZIP,"",STD,KSPG,B.420.4.00.003
LEYPARTS,ENGINE,ASHOK LEYLAND,"",STD,THRUSTWASHER KIT,"",LEYPARTS,P0990951
BANCO,GASKETS,TATA,SUMO/MOBILE/SIERA/SAFAR,W/O CHG AST,FULL GASKET,"",BANCO,"5220469910AST"
BIMETAL,CONNECTING BEARING,TATA,"1612(697)","1612(697)","","20",BIMETAL,CS 2750 020
BANCO,GASKETS,MARUTI,CAR/VAN,SYR,TIMING COVER,"",BANCO,"5231113600SYR"
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,IMPELLOR CASING,"",BANCO,"5360645203HLT"
KSPG,THRUST WASHER,TATA,SUMO,SUMO(4DL),"","",KSPG,W.234.5.00.413
BANCO,GASKETS,MAHINDRA,XDP 3,BANKITE,HEAD GASKET,"",BANCO,"5580390017BKT"
TALBROS,GASKETS,TATA,"1612",HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS728
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,EURO,STD,TIGER POWER,K2000200179
RBL,BRAKE SHOE,MARUTI,ESTEEM(BI TYPE),"","","",RBL,RBL/BS/034
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","36T",CLUTCH BODY,"",LEYPARTS,F1610411
KSPG,CONNECTING BEARING,MARUTI,ZEN/EECO,ZEN/EECO,"",STD,KSPG,B.116.0.00.003
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,OLD,FULL GASKET,"",BANCO,"5220529900BEP"
KAR VALVES,VALVE,JCB,DIESEL MAX,DIESEL MAX,"",STD,KAR VALVES,KV1175-176
GOETZE,PISTON SET,ASHOK LEYLAND,HINO,"6DTI EIII","","",GOETZE,"07308PPCSD0000C1"
BANCO,GASKETS,ASHOK LEYLAND,HINO NONTURBO,SS,EXHAUST PIPE,"",BANCO,"5360703000SS"
RBL,BRAKE SHOE,HYUNDAI,GRAND I10 & FLUIDIC VERNA,"","","",RBL,RBL/BS/055
KSPG,MAIN BEARING,KIRLOSKAR,RA3,RA3,"",STD,KSPG,M.038.4.01.003
TALBROS,GASKETS,TATA,"1612",HALF GASKET,DYNA SEAL,"",TALBROS,HS728DSXTCMK2
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO REG (S2),CONNECTING BRG,"",LEYPARTS,P0914451
IPL,KITSET,MARUTI,ALTO,ALTO,"","",IPL,"622-10412L1144-STD"
IPL,PISTON SET,KIRLOSKAR,SL 90,SL 90,"","",IPL,"602-13537W-STD"
TIGER POWER,VALVE GUIDE,ASHOK LEYLAND,HINO,"","","",TIGER POWER,VG200950160
BANCO,GASKETS,MAHINDRA TRACTOR,"265/275 DI (3 CYL)",PQB,FULL GASKET,"",BANCO,"5658159910PQB"
BANCO,GASKETS,MAHINDRA,MDI 3200,W/O CHG AST,FULL GASKET,"",BANCO,"5580389900AST"
RBL,DISCPAD,FIAT,UNO,"","","",RBL,RBL/DP/062
RBL,BRAKE LINING,ASHOK LEYLAND,"8 INCHES",REAR 12 HOLES,GT11 HLS,STD,RBL,AL/TP/HLP/B/10&11 STD GT11-HLS
KAR VALVES,VALVE,MAHINDRA,ARJUN TRACTOR,ARJUN,"",STD,KAR VALVES,KV1563-564
RBL,BRAKE LINING,SONALIKA,SONALIKA,FRONT,LAC 45,STD,RBL,RBL/SONALIKA/1 - STD - LAC 45
RBL,DISCPAD,HYUNDAI,CRETA,"","","",RBL,RBL/PDP/533
KAR VALVES,VALVE,KOMATSU,"51Z1180283","51Z1180283","",STD,KAR VALVES,KV1867
KAR VALVES,VALVE,KOMATSU,"41Z4180495","41Z4180495","",STD,KAR VALVES,KV1866
KSPG,MAIN BEARING,TATA,"1210","1210","","30",KSPG,M.207.3.00.033
RBL,BRAKE SHOE,CHEVROLET,SPARK,"","","",RBL,RBL/BS/077
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"",STD,BIMETAL,CS 180 STD
RBL,DISCPAD,CHEVROLET,AVEO & BEAT,"","","",RBL,RBL/DP/042
RBL,BRAKE LINING,ASHOK LEYLAND,IVECO 7 TONS,FR & RR 8 HOLES,"242",Jan-32,RBL,AL/TP/SM/5 1/32 (242)
BANCO,GASKETS,HYUNDAI,Santro Xing,MLS(STEEL),HEAD GASKET,"",BANCO,"5224220000MLS"
LEYPARTS,FUEL INJECTION,ASHOK LEYLAND,"","6N",BUSH,"",LEYPARTS,X3223015
TALBROS,GASKETS,PERKINS,P4,FULL GASKET,DYNA SEAL,"",TALBROS,FSIA45
BANCO,GASKETS,ASHOK LEYLAND,HINO NONTURBO,SAR,HEAD GASKET,"",BANCO,"53607000PSSAR"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","1&2 (OLD) ,51T,8SPEED",SLIDING SLEEVE,"",LEYPARTS,F1608211
BANCO,GASKETS,FORD TRACTOR,ESCORT 335/325,BANKITE,HEAD GASKET,"",BANCO,"53520100PSBKT"
KSPG,CONNECTING BEARING,MARUTI,RITZ/SWIFT/DEZIRE,PETROL,"","20",KSPG,B.165.0.10.023
IPL,PISTON SET,TATA,"407","4SP","","",IPL,"602-12162W/4-STD"
KSPG,MAIN BEARING,TATA,"1210","1210","","50",KSPG,M.207.3.01.053
TALBROS QHT,DRAG LINK ASSEMBLY,TATA,PRIMA 3123,DRAG LINK ASSEMBLY,"","",TALBROS QHT,DL01232
KSPG,MAIN BEARING,TATA,SUMO,SUMO(4DL),"","30",KSPG,M.234.3.00.033
BIMETAL,MAIN BEARING,TATA,CUMMINS,CUMMINS,"","0.25",BIMETAL,MS 8515 025
RBL,DISCPAD,MITSUBISHI,LANCER,"","","",RBL,RBL/DP/016
KSPG,CONNECTING BEARING,ISUZU,ISUZU,NEW,"",STD,KSPG,B.117.0.10.003
TALBROS,GASKETS,TATA,"1613",FULL GASKET,EXCEL,"",TALBROS,FS1613DSXNATCBS2
SVL,CLUTCH PLATE,ASHOK LEYLAND,"15 INCHES","","","",SVL,VCCD0380CB15
TALBROS,GASKETS,TATA,"609/709",HALF GASKET,DYNA SEAL,"",TALBROS,HS609DSXTC
KSPG,CONNECTING BEARING,ESCORT FORD,ESCORT FORD,ESCORT FORD,"","20",KSPG,B.302.3.00.023
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO REGULAR,MAIN BEARING,"",LEYPARTS,P0914851
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,TFX,TR.DRIVING SHAFT BEARING CASE,"",BANCO,"5658433806TFX"
KSPG,MAIN BEARING,TATA,"407","407","","40",KSPG,M.236.3.00.043
KAR VALVES,VALVE,KOMATSU,"2120932","2120932","",STD,KAR VALVES,KV1559
LEYPARTS,FILTERS,ASHOK LEYLAND,"",BSIII,WATER SEPRATOR,"",LEYPARTS,F8835100
BIMETAL,CONNECTING BEARING,TATA,CUMMINS,CUMMINS (REG),"","0.25",BIMETAL,CS 5217 025
KSPG,CONNECTING BEARING,MAHINDRA,PEUGEOT,PEUGEOT,"","50",KSPG,B.221.3.00.053
RBL,BRAKE SHOE,FORD,FIESTA CLASSIC,"","","",RBL,RBL/BS/082
LEYPARTS,GASKETS,ASHOK LEYLAND,"",HINO BS6/BS4,EXHAUST MANIFOLD,"",LEYPARTS,F1770400
BANCO,GASKETS,SIMPSON,P4,PAP,LUBE OIL PUMP BODY,"",BANCO,"5440517710PAP"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"",NEEDLE BG KT ( 5 & 6 SPEED),BEARINGS,"",LEYPARTS,P0991951
KSPG,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","30",KSPG,B.205.3.09.033
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","15 ICNHES,BS3,CRS",FLYWHEEL ASSY,"",LEYPARTS,B9288401
BANCO,GASKETS,SIMPSON,S3/241,PQB,HALF GASKET,"",BANCO,"54401898GPQB"
RBL,DISCPADS,RENAULT,DUSTER,"","","",RBL,RBL/PDP/519
LEYPARTS,ENGINE,ASHOK LEYLAND,"",MAJOR KIT,AIR COMPRESSOR,"",LEYPARTS,P1009251
BANCO,GASKETS,MARUTI,K SERIES,RUB,VALVE COVER,"",BANCO,"5231181500RUB"
KSPG,CONNECTING BEARING,TATA,NANO,NANO,"","10",KSPG,B.153.0.00.013
BANCO,GASKETS,MAHINDRA,JEEP DIESEL,BANKITE,HALF GASKET,"",BANCO,"55803098PSBKT"
TIGER POWER,CYLINDER LINER,CHEVROLET,TAVERA,PRE FINISHED,"2B",STD,TIGER POWER,K2004100360
SETCO,BRAKE LINING,TATA,"1510/1612","10 HOLES FRONT","","1MM",SETCO,SL-XP-TTS/1 (OS-1)
RBL,BRAKE SHOE,CHEVROLET,TAVERA,"","","",RBL,RBL/BS/010
TALBROS,GASKETS,ASHOK LEYLAND,HINO (4CYL),FULL GASKET,MLS ( STEEL),"",TALBROS,FS3118MLSNA
BANCO,GASKETS,MARUTI,ALTO LX/800,GAF,HEAD GASKET,"",BANCO,"52311300PSGAF"
LEYPARTS,ENGINE,ASHOK LEYLAND,"",E3,CON ROD BUSH,"",LEYPARTS,P5104096
BANCO,GASKETS,TATA,INDIGO/INDICA TURBO,AST,FULL GASKET,"",BANCO,"5220509910AST"
TALBROS,GASKETS,TATA,SUMO,HEAD GASKET,EXCEL,"",TALBROS,"3068DSXNA20S"
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","10",BIMETAL,CS 179 010
BANCO,GASKETS,MAHINDRA,PEUGEOT XDP-4 MILLOR TYPE,BHR,FULL GASKET,"",BANCO,"55803599PSBHR"
SETCO,CLUTCH RELEASE BEARING,TATA,"352DIA GB-60","","","",SETCO,SCRB-9007
LEYPARTS,FRONT AXLE,ASHOK LEYLAND,"",FA-90,KING PIN THRUST PAD,"",LEYPARTS,F0200111
BANCO,GASKETS,SIMPSON,EAGLE/SAMRAT,MVR,VALVE COVER,"",BANCO,"5440161515MVR"
KSPG,MAIN BEARING,TATA,"709","709","","60",KSPG,M.254.3.00.063
BANCO,GASKETS,ASHOK LEYLAND,"680/690",SAL,FULL GASKET,"",BANCO,"53606699PSSAL"
RBL,DISCPAD,SKODA,FABIA & RAPID,"","","",RBL,RBL/PDP/524
BANCO,GASKETS,MASSEY FERGUSON,MF 135,COPPER / NON ASBESTOS,FULL GASKET,"",BANCO,"5124229902CAC"
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,SAL,TIMING COVER,"",BANCO,"52205237PSSAL"
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",BSIII/BSIV BUS (330DIA),CLUTCH PLATE,"",LEYPARTS,B1308106
BANCO,GASKETS,MARUTI,CAR,BANKITE,HEAD GASKET,"",BANCO,"52311100PSBKT"
LEYPARTS,BRAKE,ASHOK LEYLAND,"","5INCHES,10 HOLES, FRONT (S3)",BRAKE LINING,"",LEYPARTS,PD600526
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,AST,CHASIS KIT,"",BANCO,"56584396PSAST"
RBL,DISCPAD,CHEVROLET,ENJOY,"","","",RBL,RBL/PDP/521
RBL,BRAKE LINING,TATA,"709",FR & RR 12 HOLES,HF7,"2MM",RBL,RBL/T709/1 2MM HF7
IPL,VALVE,ASHOK LEYLAND,LEYLAND,"401/402/411","",STD,IPL,"712-VL10711"
KSPG,MAIN BEARING,TATA,"1210","1210","","60",KSPG,M.207.3.02.063
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,W/O VSS PQB,FULL GASKET,"",BANCO,"5220529930PQB"
KSPG,MAIN BEARING,ESCORT FORD,ESCORT FORD,ESCORT FORD,"","40",KSPG,N.302.3.00.043
KSPG,MAIN BUSH,TATA,IRIS/ZIP,IRIS/ZIP,"",STD,KSPG,L.420.5.10.703
KAR VALVES,VALVE,HONDA,CITY / AMAZE / JAZZ,PETROL,"",STD,KAR VALVES,KV1291-292
IPL,CYLINDER LINER,ASHOK LEYLAND,HINO,"20TH PF","","",IPL,"672-L3167-020"
LEYPARTS,BRAKE,ASHOK LEYLAND,"",BSIII/BSIV,OUTER OIL SEAL,"",LEYPARTS,FA601600
LEYPARTS,ENGINE,ASHOK LEYLAND,"",AL ENGINE,LOCK KIT,"",LEYPARTS,P0960351
BANCO,GASKETS,ASHOK LEYLAND,HINO 4D-4 CYL,RUB,VALVE COVER,"",BANCO,"5360441500RUB"
TIGER POWER,CYLINDER LINER,MAHINDRA,LOGAN,SEMI FINISHED,LOGAN,STD,TIGER POWER,K2013400160
TALBROS,GASKETS,SIMPSON,S4,HEAD GASKET,DYNA SEAL,"",TALBROS,"1026DSGNA"
BANCO,GASKETS,MAHINDRA TRACTOR,"575 DI (4CYL.)",MLS(STEEL),FULL GASKET,"",BANCO,"56584699PQMLS"
KSPG,MAIN BEARING,CHEVROLET,TAVERA,TAVERA,"","30",KSPG,M.154.0.00.033
IPL,PISTON RING SET,SIMPSON,PHASER,PHASER TC,"","",IPL,"642-9744Q/4-STD"
KSPG,CONNECTING BEARING,MAHINDRA,HAWK,HAWK,"","10",KSPG,B.274.7.00.013
RBL,DISCPAD,MARUTI,CIAZ & DZIRE & RITZ & SWIFT,"","","",RBL,RBL/DP/031
BANCO,GASKETS,TATA,INDICA,SS,MANIFOLD,"",BANCO,"5220420200SS"
LEYPARTS,HYDRAULIC,ASHOK LEYLAND,"","57CC",PTO PUMP,"",LEYPARTS,P2200639
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,HF7,Jan-32,RBL,AL/TP/SM/7&8 1/32
LEYPARTS,ENGINE,ASHOK LEYLAND,"",H- SERIES,VALVE SPLIT CONE,"",LEYPARTS,P0997251
BANCO,GASKETS,MARUTI,K SERIES,BANKITE,HEAD GASKET,"",BANCO,"52311800PSBKT"
KSPG,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO (REG),"","30",KSPG,B.241.4.00.033
KSPG,MAIN BEARING,TATA,"407","407","","50",KSPG,M.236.3.00.053
RBL,BRAKE LINING,MAHINDRA,SUPRO/JEETO,WITH RIVETS,RD3205M,"1/32",RBL,RBL/FC150/L&S (WR) 1/32 3205M
BANCO,GASKETS,EICHER,CANTER,MLS(STEEL),HEAD GASKET,"",BANCO,"5135170000MLS"
TALBROS,GASKETS,MASSEY FERGUSON,MF 135,FULL GASKET,DYNA SEAL,"",TALBROS,FS2A445A
TALBROS,GASKETS,KIRLOSKAR,"6R",HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS3119
KSPG,IG BUSH,CHEVROLET,TAVERA,TAVERA,"",STD,KSPG,G.154.0.00.703
RBL,BRAKE LINING,TATA,"1510/1612",FRONT 10 HOLES,GT11-HLS,"2MM",RBL,TT/TP/SM/1 2MM GT11-HLS
RBL,DISCPAD,TATA,BOLT,"","","",RBL,RBL/PDP/506
RBL,BRAKE SHOE,HYUNDAI,ACCENT,"","","",RBL,RBL/BS/023
BANCO,GASKETS,TATA,ACE,GAF,HEAD GASKET,"",BANCO,"5220200019GAF"
KSPG,CONNECTING BEARING,TATA,"407","407","","10",KSPG,B.236.3.00.013
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,HLT,TR.CASE COVER,"",BANCO,"5658433920HLT"
KSPG,MAIN BEARING,EICHER,CANTER,"6CYL","","20",KSPG,M.235.4.10.023
TALBROS,GASKETS,ASHOK LEYLAND,HINO,HALF GASKET,MLS ( STEEL),"",TALBROS,HS3088MLSMOS
KSPG,MAIN BEARING,TATA,INDICA,INDICA,"","40",KSPG,M.119.3.00.043
BANCO,GASKETS,ASHOK LEYLAND,HINO TURBO,MLS(STEEL),HALF GASKET,"",BANCO,"5360779800MLS"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,HINO,PRE FINISHED,OD 20,"20TH",TIGER POWER,K2009500760
RBL,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10 HOLES,GT11 HLS,"1/16",RBL,AL/TP/HLP/3&4 1/16 GT11-HLS
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,SYR,PUSH ROD COVER,"",BANCO,"5220522000SYR"
RBL,DISCPAD,HONDA,AMAZE& BRIO,"","","",RBL,RBL/PDP/502
TALBROS,GASKETS,FORD TRACTOR,"3000/3600",FULL GASKET,DYNA SEAL,"",TALBROS,FS2A658ASBWOS
BANCO,GASKETS,MARUTI,CAR,BANKITE,HEAD GASKET,"",BANCO,"5231110010BKT"
TALBROS,GASKETS,TATA,"1612",FULL GASKET,DYNA SEAL,"",TALBROS,FS728DSXCTCSMK2
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,HLT,DIFFERENTIAL COVER,"",BANCO,"5220524000HLT"
TRUCKPARTS-COOLANT,COOLANT,"","",GREEN (1:3),"","1LTR",TRUCKPARTS-COOLANT,SC-NC10
RBL,DISCPAD,TATA,ACE & INDICA,"","","",RBL,RBL/PDP/507
KSPG,MAIN BUSH,MAHINDRA,GIO,"","",STD,KSPG,L.424.0.00.703
KSPG,MAIN BEARING,TOYOTA,QUALIS,QUALIS,"","20",KSPG,M.140.0.00.023
RBL,DISCPAD,HYUNDAI,SANTRO,"","","",RBL,RBL/PDP/504
KSPG,CONNECTING BEARING,TOYOTA,QUALIS,QUALIS,"","30",KSPG,B.140.0.00.033
IPL,PISTON SET,ASHOK LEYLAND,LEYLAND,"411/412","","",IPL,"602-13122W-STD"
BANCO,GASKETS,TOYOTA,QUALIS,RUB,CHAMBER PACKING,"",BANCO,"5239291000RUB"
KSPG,THRUST WASHER,MARUTI,"800 (CAR)","800 (CAR)","",OS2,KSPG,PW.110.5.00.423
LEYPARTS,ENGINE,ASHOK LEYLAND,"","1250",FAN BELT,"",LEYPARTS,X0301750
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,"3088393-KT SERIES","3088393-KT SERIES","",STD,KAR VALVES,KV1249
RBL,BRAKE LINING,ASHOK LEYLAND,ECOMET 1112,FRONT 16 HOLES,RAF7,Jan-32,RBL,RBL/ECOMET/1112/1 1/32 RAF7
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,"2879472","2879472","",STD,KAR VALVES,KV1814-2V
BANCO,GASKETS,MARUTI,CAR,AST,CARBURETTOR KIT MAJOR,"",BANCO,"523111CO20AST"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,HINO,PRE FINISHED,OD 5TH,"5TH",TIGER POWER,K2009502560
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,PQB,COUNTER SHAFT BED GASKET INTERFACE MATL.,"",BANCO,"5658436706PQB"
TIGER POWER,CYLINDER LINER,HYUNDAI,VERNA,SEMI FINISHED,FLUDIC,STD,TIGER POWER,K2003400360
KAR VALVES,VALVE,BAJAJ,COMPACT,BS III,"",STD,KAR VALVES,KV1183-184
KSPG,MAIN BEARING,HYUNDAI,SANTRO,SANTRO,"",STD,KSPG,M.152.0.00.003
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,GT11 HLS,Jan-32,RBL,AL/TP/HLP/7&8 1/32
KAR VALVES,VALVE,"",JOHNDEERE,JOHN DEERE,"","5",KAR VALVES,KV1645-646-5
KAR VALVES,VALVE,MARUTI,ESTILO,K-SERIES,"",STD,KAR VALVES,KV1231-232
TALBROS,GASKETS,FORD TRACTOR,"3000/3600",HEAD GASKET,DYNA SEAL,"",TALBROS,SB2A659
BIMETAL,MAIN BEARING,MAHINDRA,AVL,AVL,"",STD,BIMETAL,MS 431 STD
RBL,DISCPAD,MAHINDRA,XUV 500 REAR,"","","",RBL,RBL/PDP/516
IPL,PISTON RING SET,MARUTI,ALTO,ALTO,"","",IPL,"642-5945G/3-STD"
SUPER PAC,TAPPET COVER,TATA,CUMMINS BS-III,"","","",SUPER PAC,"27570"
KSPG,CONNECTING BEARING,TATA,"407","407","","20",KSPG,B.236.3.00.023
RBL,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10 HOLES,GT11 HLS,"1/32",RBL,AL/TP/HLP/3&4 1/32
USHA,PISTON RING SET,ASHOK LEYLAND,LEYLAND,HTCR,"","",USHA,"224 RCP"
KSPG,MAIN & CR BRG,MARUTI,WAGONR,"3CYL","","20",KSPG,P.135.0.10.023
KSPG,MAIN BEARING,MAHINDRA,AVL,AVL (4CYL),"",STD,KSPG,N.320.3.00.003
TALBROS,GASKETS,TATA,INDICA,HEAD GASKET,EXCEL,"",TALBROS,"3085DSXNA4OS"
BANCO,GASKETS,FORD TRACTOR,"3000/3600",SAL,HALF GASKET,"",BANCO,"53520498PSSAL"
KAR VALVES,VALVE,ASHOK LEYLAND,HINO,TURBO,"",STD,KAR VALVES,KV1377-378
KSPG,CHASIS BUSH,SWARAJ,SWARAJ,"","",STD,KSPG,Z.331.5.00.703
ANHAD,OIL PUMP CAN,"","",WESCO,"","1/2 PINT",ANHAD,"00AO30102"
SVL,UJ KIT,TATA,TATA ACE,"","","",SVL,VDUJ0103L56
RBL,DISCPAD,TATA,ARIA & SAFARI DICOR,"","","",RBL,RBL/DP/044
BANCO,GASKETS,TATA,"709 / 1109 TURBO",SAL,VALVE COVER,"",BANCO,"52204915PSSAL"
KSPG,CONNECTING BEARING KIT,MARUTI,"800 (CAR)","800 (CAR)","","10",KSPG,P.110.3.20.013
IPL,PISTON RING SET,TATA,CUMMINS,BS III,"","",IPL,"642-9892VQY-STD"
KSPG,MAIN BEARING,MARUTI,ZEN/EECO,ZEN/EECO,"","20",KSPG,M.116.0.00.023
TALBROS,GASKETS,TATA,"1210",HEAD GASKET,DYNA SEAL,"",TALBROS,P66T1
KSPG,MAIN & CR BRG,MARUTI,ZEN/EECO,ZEN/EECO,"","30",KSPG,P.116.0.00.033
KSPG,VR BUSH,TATA,"1210","1210","",STD,KSPG,V.207.5.00.003
IPL,PISTON RING SET,ASHOK LEYLAND,IVECO,IVECO,"","",IPL,"642-9074V/4-STD"
LEYPARTS,DRIVE LINE,ASHOK LEYLAND,"","90-SERIES (34 SPLINES)",MIDSHIP TUBE SHAFT,"",LEYPARTS,P4501633
KSPG,MAIN BEARING,TATA,"1210","1210","","40",KSPG,N.207.3.00.043
KAR VALVES,VALVE,TOYOTA,COROLLA ALTIS / ETIOS,DIESEL,"",STD,KAR VALVES,KV1261-262
TALBROS,GASKETS,MAHINDRA,"255",HEAD GASKET,DYNA SEAL,"",TALBROS,"3071DSX"
LEYPARTS,COOLING SYSTEM,ASHOK LEYLAND,"",FUEL TANK TO FUEL STRAINER (ASSY),HOSES,"",LEYPARTS,B4464002
BANCO,GASKETS,MAHINDRA,JEEP PETROL,BANKITE,FULL GASKET,"",BANCO,"5580299911BKT"
TIGER POWER,CYLINDER LINER,SIMPSON,P3,SEMI FINISHED,P3,STD,TIGER POWER,K2004600160
TALBROS,GASKETS,ASHOK LEYLAND,"680",HEAD GASKET,DYNA SEAL,"",TALBROS,"319DSX"
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","15 INCHES",FACE PLATE KIT,"",LEYPARTS,P0996651
TALBROS,GASKETS,ASHOK LEYLAND,HINO (4CYL),FULL GASKET,EXCEL,"",TALBROS,FS3118DSXNAWOS
TALBROS,GASKETS,TATA,MAGIC/IRIS,HEAD GASKET,EXCEL,"",TALBROS,"3141DSXNA"
KSPG,CONNECTING BUSH,TATA,CUMMINS,"","",STD,KSPG,PS.245.5.00.703
RBL,BRAKE LINING,ASHOK LEYLAND,"8 INCHES",REAR 10 HOLES,GT11 HLS,STD,RBL,AL/TP/HLP/A/10&11 STD
BANCO,GASKETS,MARUTI,VAN,BANKITE,MANIFOLD,"",BANCO,"5231120201BKT"
BANCO,GASKETS,MAHINDRA TRACTOR,"575 DI (4CYL.)",BANKITE,FULL GASKET,"",BANCO,"56584799PSBKT"
BANCO,GASKETS,"",METADOR 305,BANKITE,HALF GASKET,"",BANCO,"51312798PSBKT"
BANCO,GASKETS,ASHOK LEYLAND,HINO NONTURBO,ECO,FULL GASKET,"",BANCO,"53607099PSECO"
BANCO,GASKETS,TATA,INDIGO DICOR,MLS(STEEL),HEAD GASKET,"",BANCO,"5220480000MLS"
BANCO,GASKETS,ASHOK LEYLAND,HINO NONTURBO,SAR,HALF GASKET,"",BANCO,"53607098PSSAR"
TIGER POWER,CYLINDER LINER,HYUNDAI,VERNA,SEMI FINISHED,VERNA,STD,TIGER POWER,K2003400260
IPL,PISTON SET,SIMPSON,S3,"5RV","","",IPL,"602-12155W-STD"
TALBROS,GASKETS,TATA,"1613",FULL GASKET,DYNA SEAL,"",TALBROS,FS1613DSXTCNABS2
RBL,DISCPAD,MARUTI,WAGONR,"","","",RBL,RBL/PDP/511
